L,13.0
Kc,1.0
X,Y,CalA0,NV,Kl,Kb,Ka,v0,Dr,Ds,a0,psi
6.570869,12.438850,1.2,32,1.0,0.05,1.0,0.0,0.0,0.0,3.14,1.22
8.525446,7.268172,1.2,32,1.0,0.05,1.0,0.0,0.0,0.0,3.14,0.2
9.860399,10.509870,1.2,32,1.0,0.05,1.0,0.0,0.0,0.0,3.14,3.4
2.970036,3.989411,1.2,32,1.0,0.05,1.0,0.0,0.0,0.0,3.14,4.7
4.045332,9.594389,1.2,32,1.0,0.05,1.0,0.0,0.0,0.0,3.14,5.6
2.271929,10.477308,1.2,32,1.0,0.05,1.0,0.0,0.0,0.0,3.14,2.8
3.903885,11.582350,1.2,32,1.0,0.05,1.0,0.0,0.0,0.0,3.14,5.7
5.661733,10.751879,1.2,32,1.0,0.05,1.0,0.0,0.0,0.0,3.14,3.1
2.940338,0.415122,1.2,32,1.0,0.05,1.0,0.0,0.0,0.0,3.14,2.3
8.447304,9.159540,1.2,32,1.0,0.05,1.0,0.0,0.0,0.0,3.14,5.13
4.911221,0.611829,1.2,32,1.0,0.05,1.0,0.0,0.0,0.0,3.14,3.4
7.752362,10.932001,1.2,32,1.0,0.05,1.0,0.0,0.0,0.0,3.14,4.17
3.716191,2.173890,1.2,32,1.0,0.05,1.0,0.0,0.0,0.0,3.14,5.6
11.889191,6.260156,1.2,32,1.0,0.05,1.0,0.0,0.0,0.0,3.14,2.8
11.438282,11.668295,1.2,32,1.0,0.05,1.0,0.0,0.0,0.0,3.14,5.7
7.719486,3.996601,1.2,32,1.0,0.05,1.0,0.0,0.0,0.0,3.14,3.19
5.330042,3.773256,1.2,32,1.0,0.05,1.0,0.0,0.0,0.0,6.15,2.3
7.067314,1.753631,1.2,32,1.0,0.05,1.0,0.0,0.0,0.0,6.15,5.1
0.859919,12.323442,1.2,32,1.0,0.05,1.0,0.0,0.0,0.0,6.14,3.4
6.161846,8.541462,1.2,32,1.0,0.05,1.0,0.0,0.0,0.0,6.14,2.39
9.590462,2.647900,1.2,32,1.0,0.05,1.0,0.0,0.0,0.0,6.14,2.67
12.040247,3.875915,1.2,32,1.0,0.05,1.0,0.0,0.0,0.0,6.14,4.0
3.968684,6.155845,1.2,32,1.0,0.05,1.0,0.0,0.0,0.0,6.14,1.67
9.198430,12.795796,1.2,32,1.0,0.05,1.0,0.0,0.0,0.0,6.14,4.55
10.635272,8.250002,1.2,32,1.0,0.05,1.0,0.0,0.0,0.0,6.14,3.87
11.702775,1.145059,1.2,32,1.0,0.05,1.0,0.0,0.0,0.0,6.14,2.62
1.276581,5.592601,1.2,32,1.0,0.05,1.0,0.0,0.0,0.0,6.14,2.92
12.849752,9.761184,1.2,32,1.0,0.05,1.0,0.0,0.0,0.0,6.14,1.7
1.370975,2.213686,1.2,32,1.0,0.05,1.0,0.0,0.0,0.0,6.14,3.2
9.715873,5.323120,1.2,32,1.0,0.05,1.0,0.0,0.0,0.0,6.14,0.16
2.163246,8.148329,1.2,32,1.0,0.05,1.0,0.0,0.0,0.0,6.14,3.67
6.660555,6.004951,1.2,32,1.0,0.05,1.0,0.0,0.0,0.0,6.14,4.4